FIPS,County,countyname,County,fatalcounts,population2019,RuralProp,Rural,Urban,UninsuredProp,HighSchool,SomeCollege,Unempoyment,ViolentCrime,AAprop,MentalHealthDays,Smoking_Rate,AgeAbove65,AgeBelow18,Female_Prop,lat,lon
37115,Madison,madison,Madison County,19,21755,0.90618378,1,0,0.123352993,0.866,0.53417343,0.043451838,32.94475418,0.015037248,4.128864796,0.182668713,0.214108342,0.181872528,0.506300009,35.864204,-82.712631
37117,Martin,martin,Martin County,3,22440,0.781228321,1,0,0.1160444,0.695,0.625999159,0.057596513,432.4740944,0.41809645,4.384431647,0.194423231,0.224099346,0.203080434,0.530124183,35.847301,-77.119598
37119,Mecklenburg,mecklenburg,Mecklenburg County,17,1110356,0.010654308,0,1,0.120597346,0.851,0.75055548,0.043073233,583.7912254,0.314074461,3.367525052,0.154158581,0.109175298,0.238892237,0.519211357,35.246861,-80.833832
37121,Mitchell,mitchell,Mitchell County,17,14964,0.826433019,1,0,0.133445497,0.849,0.572463768,0.05315669,267.9519706,0.004843418,4.231766558,0.170336836,0.249402866,0.183651805,0.507895435,36.013103,-82.163551
37123,Montgomery,montgomery,Montgomery County,1,27173,0.768364631,1,0,0.154222708,0.896,0.459360426,0.046368906,237.3641279,0.182176053,4.371196425,0.19281262,0.199562603,0.225405504,0.511864407,35.327549,-79.910751
37125,Moore,moore,Moore County,2,100880,0.506578127,1,0,0.115416448,0.894,0.71010588,0.045188117,155.4052575,0.120969732,3.920599733,0.162492219,0.237909196,0.213223803,0.519318556,35.308273,-79.492722
37127,Nash,nash,Nash County,9,94298,0.475626043,0,1,0.118255152,0.828,0.571126534,0.061306902,444.1511778,0.400793693,4.118885359,0.183750231,0.180400251,0.222734092,0.520773266,35.965946,-77.987556
37129,New,new,New Hanover County,4,234473,0.022149635,0,1,0.109364645,0.86,0.746975176,0.041982768,446.9865675,0.135133232,4.011664739,0.17961675,0.173056101,0.188632823,0.52202044,34.183445,-77.864204
37131,Northampton,northampton,Northampton County,2,19483,0.893660347,1,0,0.120462732,0.634,0.493597791,0.06345733,253.4041644,0.571191219,4.514757905,0.205301677,0.251686638,0.178481523,0.514248313,36.421776,-77.398354
37133,Onslow,onslow,Onslow County,3,197938,0.263489188,0,1,0.096189648,0.889,0.705217407,0.050793304,209.0471695,0.148865611,4.097880858,0.190587702,0.092117818,0.243820045,0.447195103,34.763107,-77.499466
